stock_symbol,date,avg_open,avg_high,avg_low,avg_close,total_volume
AAPL,2024-05-23,189.0259339622637,189.09170649895174,188.93677253668707,189.0309800838572,58785944
AAPL,2024-05-24,189.35016405433657,189.39226123301998,189.2915036572624,189.3506802507838,41349631
AAPL,2024-05-28,191.5612437499999,191.64774895833324,191.4107510416665,191.56223124999988,58083371
AAPL,2024-05-29,190.54676200417543,190.64185177453047,190.45970563674302,190.5578434237995,60240454
AAPL,2024-05-30,191.14399164054325,191.21532497387665,191.06796551724122,191.1455130616509,58490944
AAPL,2024-05-31,191.35613075313805,191.44718410041855,191.28602824267773,191.35991213389127,96937644
AAPL,2024-06-03,193.53763920750816,193.62940145985397,193.46258811261745,193.53755995829005,55160242
AAPL,2024-06-04,194.08645464025028,194.14551616266974,194.00628884254425,194.0610406673621,54387236
AAPL,2024-06-05,195.45830230125503,195.52562343096247,195.39972803347285,195.46695920502077,60438393
AAPL,2024-06-06,195.40789759665637,195.46273667711614,195.3439007314525,195.4082789968652,46099647
AAPL,2024-06-07,195.69419327731117,195.741724789916,195.6433140756303,195.69411029411773,57916567
AAPL,2024-06-10,195.2261958333336,195.3381510416671,195.13159583333362,195.22128437500007,102981196
AAPL,2024-06-11,200.61387291666693,200.790967708333,200.4315270833334,200.65328020833329,181761506
AAPL,2024-06-12,212.18665729166622,212.32729687499992,211.97539791666648,212.20411249999952,206222922
AAPL,2024-06-13,213.8093083333335,213.92621458333366,213.65954895833332,213.81224791666693,105771531
AAPL,2024-06-14,212.94577916666657,213.04061562499982,212.84489375000013,212.95201354166662,75629310
AAPL,2024-06-17,215.81294999999992,215.9009041666664,215.65287395833326,215.8175124999996,104193159
AAPL,2024-06-18,215.43803437499997,215.52905729166648,215.35601041666698,215.4351354166666,88558257
AAPL,2024-06-20,211.6274927083334,211.70208749999998,211.52960624999997,211.6209270833335,95552661
AAPL,2024-06-21,209.53779749478062,209.6441440501042,209.44699895615852,209.5565260960333,349745477
MSFT,2024-05-23,430.10628301886766,430.23645807127815,429.9093039832278,430.0972725366871,20040945
MSFT,2024-05-24,428.9475620360552,429.0827985153766,428.84491940615055,428.99010392364875,13723468
MSFT,2024-05-28,429.20520418848173,429.57422094240815,428.01131413612563,429.20906910994785,18228099
MSFT,2024-05-29,427.96788958990487,428.09829758149317,427.83837854889566,427.9672355415346,18256343
MSFT,2024-05-30,419.6123443145589,419.79602869287964,419.39598831030827,419.60120935175377,31827157
MSFT,2024-05-31,412.190413179916,412.3627646443517,412.03096757322135,412.2142018828448,60988077
MSFT,2024-06-03,413.83945255474504,413.9889603753904,413.5876663190829,413.7983555787281,19173634
MSFT,2024-06-04,413.55333368421066,413.7343842105263,413.38882000000024,413.5752431578951,16561939
MSFT,2024-06-05,420.55111215932857,420.6713700209638,420.38366142557754,420.5433563941298,19887625
MSFT,2024-06-06,423.366490506329,423.4851909282702,423.1746012658229,423.36294303797456,17262944
MSFT,2024-06-07,424.428396367522,424.53020299145356,424.2940801282055,424.42316773504274,15705065
MSFT,2024-06-10,425.9670243644066,426.0882277542375,425.818254237288,425.96513983050875,15969414
MSFT,2024-06-11,429.2600375133965,429.370207931403,429.1256012861726,429.26942872454407,16756066
MSFT,2024-06-12,438.18756558237163,438.3737124868839,437.9444921301162,438.20156663169024,25617937
MSFT,2024-06-13,440.67528467153295,440.83770177267957,440.48868925964535,440.6730740354533,18971501
MSFT,2024-06-14,441.0316298227322,441.1600709071958,440.90181438998997,441.0294244004175,15711904
MSFT,2024-06-17,445.6571469045132,445.774266526758,445.44696432318966,445.6575907660031,24406184
MSFT,2024-06-18,447.6431225130886,447.77850157068053,447.4973507853403,447.65621151832414,20117224
MSFT,2024-06-20,445.8208308977035,445.9820354906052,445.6069551148227,445.8315386221299,23733714
MSFT,2024-06-21,447.75082303664954,447.8771602094242,447.50474973821986,447.7596523560209,40891095
