timestamp,stock_symbol,close,moving_avg_close
2024-05-23T04:00:00.000+10:00,AAPL,190.89,190.89
2024-05-23T04:01:00.000+10:00,AAPL,190.87,190.88
2024-05-23T04:02:00.000+10:00,AAPL,190.84,190.86666666666667
2024-05-23T04:03:00.000+10:00,AAPL,190.89,190.8725
2024-05-23T04:04:00.000+10:00,AAPL,190.85,190.868
2024-05-23T04:05:00.000+10:00,AAPL,190.86,190.86666666666667
2024-05-23T04:06:00.000+10:00,AAPL,190.85,190.8642857142857
2024-05-23T04:07:00.000+10:00,AAPL,190.93,190.8725
2024-05-23T04:08:00.000+10:00,AAPL,190.87,190.8722222222222
2024-05-23T04:09:00.000+10:00,AAPL,190.88,190.873
2024-05-23T04:10:00.000+10:00,AAPL,190.82,190.86818181818182
2024-05-23T04:11:00.000+10:00,AAPL,190.81,190.86333333333334
2024-05-23T04:12:00.000+10:00,AAPL,190.86,190.86307692307693
2024-05-23T04:13:00.000+10:00,AAPL,190.87,190.86357142857145
2024-05-23T04:14:00.000+10:00,AAPL,190.9,190.866
2024-05-23T04:15:00.000+10:00,AAPL,190.99,190.87375000000003
2024-05-23T04:16:00.000+10:00,AAPL,190.96,190.8788235294118
2024-05-23T04:17:00.000+10:00,AAPL,190.99,190.88500000000002
2024-05-23T04:18:00.000+10:00,AAPL,190.99,190.8905263157895
2024-05-23T04:19:00.000+10:00,AAPL,190.95,190.8935
2024-05-23T04:20:00.000+10:00,AAPL,190.97,190.89714285714285
2024-05-23T04:21:00.000+10:00,AAPL,191.12,190.90727272727273
2024-05-23T04:22:00.000+10:00,AAPL,191.03,190.91260869565215
2024-05-23T04:23:00.000+10:00,AAPL,191.05,190.91833333333332
2024-05-23T04:24:00.000+10:00,AAPL,191.02,190.9224
2024-05-23T04:25:00.000+10:00,AAPL,191.06,190.92769230769233
2024-05-23T04:26:00.000+10:00,AAPL,191.12,190.93481481481484
2024-05-23T04:27:00.000+10:00,AAPL,191.03,190.9382142857143
2024-05-23T04:28:00.000+10:00,AAPL,191.12,190.9444827586207
2024-05-23T04:29:00.000+10:00,AAPL,191.04,190.94766666666666
2024-05-23T04:30:00.000+10:00,AAPL,191.03,190.95032258064515
2024-05-23T04:31:00.000+10:00,AAPL,191.11,190.9553125
2024-05-23T04:32:00.000+10:00,AAPL,191.09,190.95939393939395
2024-05-23T04:33:00.000+10:00,AAPL,191.04,190.96176470588236
2024-05-23T04:34:00.000+10:00,AAPL,191.05,190.96428571428572
